{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ダメだ！ やっぱり{/n}ジムニーに とどめをさすなんて{/n}できないよ！,{Par}不行啊！ 果然还是{/n}没法对吉姆尼下杀手啊！{/n}
光さん、どうやら{/n}その必要はないようですわ…。{/n},光小姐、看起来{/n}似乎没这个必要了…。{/n}
{Par}どうした？ がんばれ！{/n}{/n},{Par}怎么了？ 加油啊！{/n}{/n}
{Par}魔法で 急に{/n}巨大化させられたおかげで、{/n}身体に無理がきたんですわ…！,{Par}因为被魔法突然{/n}巨大化的缘故、{/n}身体已经到达极限了…！
ジムニー…！{/n}{/n},吉姆尼…！{/n}{/n}
あなた…ザガートの仲間なの…？{/n}{/n},你…是扎加特的同伴吗…？{/n}{/n}
… … …。{/n}{/n},… … …。{/n}{/n}
ジムニーは、{/n}セラっていう女の子が 大切に{/n}育ててきたものなのよ？,吉姆尼可是{/n}名叫塞拉的女孩子{/n}精心饲养长大的孩子哦？
それを戦いに利用するなんて、{/n}ひどいじゃない…。{/n},居然利用它来进行战斗、{/n}太过分了吧…。{/n}
セラも、このことを知ったら{/n}すごく悲しむわ…。{/n},塞拉要是知道这件事{/n}也会非常伤心的…。{/n}
ザガートも、エメロード姫を{/n}さらって、閉じこめて…{/n}悲しませている…！,扎加特也是、掳走艾美诺公主{/n}囚禁起来…{/n}让她如此悲伤…！
ザガートは悪いヤツだ！{/n}手を貸してちゃいけないよ！{/n},扎加特是个坏蛋！{/n}不能帮他的忙啊！{/n}
… … …。{/n}{/n},… … …。{/n}{/n}
行きなさい。{/n}{/n},走吧。{/n}{/n}
海ちゃん…。{/n}{/n},小海…。{/n}{/n}
わたしたちには まだ{/n}やらなきゃいけないことが{/n}あるわ。,我们还有{/n}必须完成的事情{/n}要做呢。
そうですわね…あの子に…{/n}{/n},说得对呢…得向那孩子…{/n}{/n}
あやまらなきゃ…。{/n}{/n},好好道歉才行…。{/n}{/n}
