{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}カルディナ！{/n}{/n},{Par}卡尔汀娜！{/n}{/n}
フン、やっぱ まだ{/n}生きとったんかいな。{/n},哼、果然还活着啊{/n}你们这些家伙。{/n}
でも もう終わりやで！{/n}今度こそ ここが、おまえらの{/n}墓場になるっちゅうワケや！,但是已经结束咧！{/n}此时此刻此地、{/n}就是你们的葬身之处啦！
なァ！{/n}そやろ、アスコット！{/n},对吧！{/n}是这样吧、阿斯柯特！{/n}
アスコット{var3}{/n}{/n},阿斯柯特{var3}{/n}{/n}
この子が、ですの？{/n}{/n},这孩子就是吗？{/n}{/n}
そうや！ さ、芝居は{/n}もう終わりや。そないな変装は{/n}やめて、こっち おいで{var4},没错！好了、{/n}演戏到此为止咧。{/n}快脱掉那身伪装到这边来{var4}
い…いやだ！{/n}{/n},不…不要！{/n}{/n}
もうええって{var4}{/n}うちはわかってんで！{/n},不要废话了吧{var4}{/n}咱可全都明白咧！{/n}
ずっと そいつらを{/n}スパイしとったんやろ？{/n},你一直作为间谍{/n}在监视她们对吧？{/n}
そんならそうと 言うといて{/n}くれたらええのに、水くさい！{/n},既然如此直说不就好了、{/n}还遮遮掩掩的！{/n}
けど、もう その必要はないで！{/n}ここで ２人で こいつら{/n}やっつけてしまえばええんや！,不过、现在已经不需要了！{/n}咱们两人联手{/n}解决掉她们就行咧！
な？{/n}はよ こっちおいで！{/n},嗯？{/n}赶紧过来啊！{/n}
いやだ{var4}{/n}{/n},不要{var4}{/n}{/n}
…光たちは いいひとだよ！{/n}悪いのは ザガートなんだ！{/n}ぼくは光たちといっしょにいる！,…光她们都是好人！{/n}坏的是扎加特啊！{/n}我要和光她们在一起！
カルディナも、もう{/n}ザガートの下で働くのは{/n}やめなよ{var4},卡尔汀娜、{/n}你也别再为扎加特做事了{var4}{/n}
ちょっと…{/n}あんた、何言い出すのん？{/n}どっかで 頭 ぶつけたんか{var3},喂…{/n}你小子在胡说什么？{/n}脑袋被门夹了吗{var3}
アスコット…{/n}うちら、あんなに仲良う…{/n}姉弟のようにしてきたやないの？,阿斯柯特…{/n}咱们明明那么要好…{/n}就像姐弟一样相处到现在啊！
アスコット！{/n}もう…もう、芝居はええ{/n}言うてるやろ！,阿斯柯特！{/n}够了…{/n}叫你别演戏了没听见啊！
芝居なんか してないよっ{var4}{/n}{/n},才不是在演戏啦{var4}{/n}{/n}
し…信用できないわ…！{/n}{/n},不…我才不信…！{/n}{/n}
え…？{/n}{/n},诶…？{/n}{/n}
ザガートの手下だったんでしょ、{/n}アスコット！{/n},你就是扎加特的手下吧、{/n}阿斯柯特！{/n}
今までのも これも、ホントに{/n}お芝居じゃないっていうの？{/n}そんなの…信じられない…！,到现在为止的种种、{/n}难道真不是在演戏吗？{/n}这种事…我无法相信…！
そんな…！{/n}{/n},怎么会…！{/n}{/n}
アスコットさん…{/n}あなたは、タフロンの村で{/n}ジムニーを死なせた方ですわ…。,阿斯柯特先生…{/n}你就是那个在塔夫隆村{/n}害死吉姆尼的人啊…。
そんな…そんな！{/n}{/n},不对…不是的！{/n}{/n}
ハハ！{/n}ほら 見てみ、アスコット！{/n},哈哈！{/n}看到了吧阿斯柯特！{/n}
いまさら そんなこと言うたかて{/n}だれも あんたのことなんか{/n}信じてくれへん！,事到如今说这种话{/n}根本没人会相信你！{/n}
…信じる{var4}{/n}{/n},…我相信{var4}{/n}{/n}
光{var3}{/n}{/n},光{var3}{/n}{/n}
わたしは{/n}アスコットを信じる{var4}{/n},我相信阿斯柯特{var4}{/n}{/n}
アスコットは 今までの自分が{/n}間違っていたとわかったんだ！{/n}それを 今は反省してるんだ！,阿斯柯特已经意识到{/n}过去的自己是错误的了！{/n}现在正在反省啊！
海ちゃん、風ちゃん、{/n}今のアスコットを見てあげてよ！{/n},小海、小风、{/n}看看现在的阿斯柯特吧！{/n}
そんな…{/n}そこまで簡単に{/n}わたしは信じられないわよ！,可是…{/n}如此轻易地相信他{/n}这种事我办不到啊！
… … …。{/n}{/n},… … …。{/n}{/n}
アスコット！ そないな{/n}やつらといてもしゃあないやん！{/n}な！ こっち戻っておいで！,阿斯柯特！跟那种人{/n}在一起有啥意思嘛！{/n}喂！快回到这边来！
ぼく…{/n}{/n},我…{/n}{/n}
アスコット！{/n}{/n},阿斯柯特！{/n}{/n}
アスコット！{/n}{/n},阿斯柯特！{/n}{/n}
{Par}ぐわっ！{/n}{/n},{Par}咕呃！{/n}{/n}
{Par}アスコット…あんた…{/n}これが…これが 本当に{/n}あんたの答なん{var3},{Par}阿斯柯特…你这…{/n}这就是…{/n}你真正的答案吗{var3}
カルディナ！ 今のは…！{/n}{/n},卡尔汀娜！刚才那是…！{/n}{/n}
おまえら…おまえらのせいや！{/n}おまえらが アスコットを{/n}たぶらかしたんや{var4},你们…都是你们的错{/n}是你们把阿斯柯特给蛊惑了{var4}{/n}
もう許さへんッ{var4}{/n}{/n},绝不原谅{var4}{/n}{/n}
やめて！{/n}やめてよ、カルディナ！{/n},住手！{/n}住手啊、卡尔汀娜！{/n}
あんたは だまっとき！{/n}{/n},你这家伙闭嘴！{/n}{/n}
うちが こいつらと{/n}勝負 つけたるわ{var4}{/n},咱要和这帮家伙{/n}做个了断{var4}{/n}
ヒカル、{/n}カルディナと戦うのは やめて！{/n},光、{/n}别和卡尔汀娜打啊！{/n}
うるさいッ！{/n}いくでぇッ！{/n}これでも受けてみぃッ{var4},啰嗦死了啊！{/n}看招——！{/n}有本事接下这招啊{var4}
やめてーーーっ！,住手啊啊啊啊！{/n}
{Par}あ…ア、アスコットォォォオ！{/n}{/n},{Par}啊…阿、阿斯柯特————！{/n}{/n}
アスコット！{/n}{/n},阿斯柯特！{/n}{/n}
ヒカル…{/n}ありが…と…{/n}信じて…くれ…て…,光…{/n}谢…谢你…{/n}愿意…相信…我…
短い…間だっ…けど…{/n}楽し…った…{/n},虽然很…短暂…{/n}但是很…开心…{/n}
アスコット…{/n}わたしたちのために…{/n},阿斯柯特…{/n}是为了保护我们…{/n}
アスコット！ ごめん！{/n}ごめんなさい！{/n}信じてあげられなくて{var4},阿斯柯特！对不起！{/n}对不起啊！{/n}没能相信你{var4}
アスコットさん…{/n}{/n},阿斯柯特先生…{/n}{/n}
カル…ディナ…もう…やめて…{/n}まちがってたんだよ…{/n}ぼく…たち…,卡…尔汀娜…别再…打了…{/n}是咱们…错了啊…{/n}我们…
ヒカル…たちと…なかよ…く…{/n}{/n},和光…她们…{/n}大家要…好好相…处…{/n}
{Par}アスコット…{/n},{Par}阿斯柯特…{/n}
アスコットーッ{var4}{/n},阿斯柯特——{var4}{/n}
ふ…フフフ…ハハハハハ！{/n}{/n},呜…呵呵…哈哈哈！{/n}{/n}
い、いてもうたるわ…{var4}{/n}{/n},痛、痛死人咧…{var4}{/n}{/n}
こうなったんも…{/n}みんな…みんな…！{/n}おまえらのせいやーッ{var4},会变成这样…{/n}全都是…全都是…！{/n}你们的错啊啊啊{var4}
やめろ、カルディナ{var4}{/n}アスコットの最期の言葉を{/n}聞いていなかったのか{var3},住手啊、卡尔汀娜{var4}{/n}你难道没听见{/n}阿斯柯特最后的遗言吗{var3}
だまれ だまれ{/n},闭嘴 闭嘴{/n}
だまれーーーッ{var4}{/n},闭嘴啊啊啊{var4}{/n}
