{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}名前を たずねるときは{/n}ご自分から 名乗るのが{/n}礼儀ではありませんこと？,{Par}询问他人姓名时{/n}不是应该先自报家门{/n}才符合礼仪吗？
…それもそうか。{/n}{/n},…说的也是呢。{/n}{/n}
オレは フェリオ。{/n}{/n},在下是菲力欧。{/n}{/n}
助けていただいて{/n}ありがとうございました。{/n}わたくしは 鳳凰寺 風と申します。,感谢出手相助。{/n}我的名字是凤凰寺风。{/n}
ありがとう。{/n}わたしは 龍咲 海よ。{/n},多谢了。{/n}我是龙咲海。{/n}
わたしは 獅堂 光！{/n}{/n},我是狮堂光！{/n}{/n}
ここは 沈黙の森といって、{/n}魔法が使えないところだ。{/n}しかも 魔物がウヨウヨしてる。,这里叫做沉默之森、{/n}是无法使用魔法的地方。{/n}而且魔物还四处横行呢。
そうとうの剣の腕がないと、{/n}生きては 出られないぞ。{/n},没有相当了得的剑术、{/n}是不可能活着出去的哦。{/n}
そんなこと言ったって…{/n}{/n},就算你这么说…{/n}{/n}
何しに来たか知らないが、{/n}おまえたちだけで この森を{/n}うろつくのは 危険だ。,不管你们为何而来、{/n}但仅凭你们几个{/n}在森林里徘徊可是很危险的。
…おまえたち、{/n}オレを ボディガードとして{/n}やとわないか？,…你们要不要{/n}雇佣我当保镖啊？{/n}
オレは 猟師をしてるんだ。{/n}この森のことは よく知ってる。{/n}腕は見ての通りだ。役に立つぜ？,我可是猎人哦。{/n}对这片森林了如指掌。{/n}剑术也如你所见。能派上用场吧？
でも…{/n}お金もってない…{/n},但是…{/n}我们没钱啊…{/n}
なに、メシを食わせてくれりゃ{/n}いいんだ。ここんとこ{/n}ろくなもの 食ってなくてさ。,没事、只要管饭就行。{/n}最近都没吃过像样的东西啦。{/n}
なぁんだ。{/n}ごはんくらいだったら{/n}モコナに出してもらえば…,什么嘛。{/n}只是吃饭的话{/n}让摩可拿准备不就好了…
{Par}ちょっと、光！{/n}どこまで お人好しなの{var3}{/n},{Par}稍等一下、光！{/n}你也太好骗了吧{var3}{/n}
あの フェリオとおっしゃる方は{/n}ザガートの関係者かも{/n}しれませんのよ？,那位自称菲力欧的人{/n}说不定和扎加特有关系呢？{/n}
でも、助けてくれたよ？{/n}{/n},可是、{/n}他救了咱们啊？{/n}
わたくしたちを油断させる{/n}手かもしれませんわ。{/n},可能是为了{/n}让我们放松警惕的手段哦。{/n}
でも、いっしょの方が{/n}協力しあえて いいと思う。{/n},不过我觉得{/n}有同伴互相帮助也不错啊。{/n}
{Par}わたくしたちに ボディガードは{/n}必要ありません。{/n}どうぞ お引きとりを。,{Par}我们不需要什么保镖。{/n}请您自便吧。{/n}
猟師と おっしゃいましたが、{/n}魔物の巣で猟をなさいますの？{/n}おかしいですわね。,您说自己是猎人、{/n}却要在魔物巢穴打猎？{/n}太可疑了不是吗。
…いたいとこつくな。{/n}{/n},…被戳中痛处了啊。{/n}{/n}
ウソだったの？{/n}{/n},刚才是在说谎吗？{/n}{/n}
確かに オレは猟師じゃない。{/n}実は オレは剣士でな。{/n},确实我不是猎人。{/n}其实我是个剑士啦。{/n}
ザガートって知ってるか？{/n}エメロード姫をさらったと{/n}ウワサされる ヤなやつさ。,听说过扎加特吗？{/n}就是传闻中绑架了{/n}艾美诺公主的混蛋。
オレは そいつに 一泡{/n}吹かせようとしたんだけど、{/n}反対に捕まりそうになって…,我本想给那家伙点颜色看看、{/n}结果反而差点被抓…{/n}
沈黙の森に逃げこんだんだが、{/n}出口がわからなくなっちまった。{/n},虽然逃进了沉默之森、{/n}却找不到出口了。{/n}
風ちゃん、やっぱり{/n}協力してもらおうよ。{/n},小风、果然还是{/n}让他帮忙比较好吧？{/n}
同じ ザガートを{/n}敵とする者じゃない。{/n},毕竟都是与扎加特{/n}为敌的人啊。{/n}
とても面白い お話ですわ。{/n}一晩 寝ないで考えたんですの？{/n},真是有趣的说辞呢。{/n}是彻夜未眠编出来的吗？{/n}
先ほどの話が ウソで、{/n}今回はホントと言われましても、{/n}すぐには 信用しかねますわ。,就算您说刚才的是谎言、{/n}而这次才是真话、{/n}我们也难以立刻相信呢。
疑い深くて かなわねぇな。{/n}わかったよ。{/n}やとってもらうのは あきらめた。,疑心病真重啊。{/n}好吧。不雇佣就算了。{/n}
{Par}賢明な選択ですわ。{/n}{/n},{Par}明智的选择呢。{/n}{/n}
勝手について行かせてもらおう。{/n}それなら 文句ないだろ？{/n},我就擅自跟着你们了。{/n}这样总没意见了吧？{/n}
え…？{/n}{/n},诶…？{/n}{/n}
わーい！{/n}{/n},太好啦！{/n}{/n}
ま、戦力は{/n}多い方が いいわよね。{/n},嘛、战斗力{/n}还是越多越好吧。{/n}
納得いきませんわ…。{/n}{/n},我无法认同啊…。{/n}{/n}
