{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}行き止まりか…しょうがない、{/n}ひと休みしようぜ。{/n},{Par}是条死路啊…真没办法、{/n}稍微休息一下吧。{/n}
あれだけ歩いて 行き止まりィ？{/n}なんだか 急に{/n}疲れてきちゃった…。,走了这么多路居然是死路？{/n}突然觉得好累啊…。{/n}
しかたありませんわね。{/n}では 少し休憩しましょう。{/n},也是没办法呢。{/n}那就稍微休息会儿吧。{/n}
おなかすいちゃったよ！{/n}なにか食べよう？{/n},肚子饿扁了啦！{/n}要不要吃点东西？{/n}
{Par}風ちゃん、フェリオにも{/n}あげていいよね。{/n}いっしょに 戦ってもらったし…,{Par}小风、也给{/n}菲力欧分点吃的吧。{/n}毕竟他刚才也一起战斗了…
光さん…{/n}{/n},光小姐…{/n}{/n}
わかりました。…でも、{/n}持っていくのは わたくしです。{/n}光さんは やさしすぎますから。,知道了。…不过、{/n}由我来送过去。{/n}光小姐你太心软了。
{Par}おまえか…。{/n}{/n},{Par}是你啊…。{/n}{/n}
食べ物を持ってきました。{/n}ここにおいておきますから。{/n}じゃ…,带了食物过来。{/n}放在这里了。{/n}那么…
{Par}まぁ 待てよ。{/n}少し話でもしようぜ。{/n},{Par}喂 等等。{/n}稍微聊两句嘛。{/n}
{Par}特に あなたと お話しする理由は{/n}みつかりませんけれど？{/n},{Par}实在找不到{/n}要和你聊天的理由呢？{/n}
ったく…{/n}食えねぇな、おまえは。{/n},真是的…{/n}你这女人真是不可爱。{/n}
光栄ですわ。{/n}{/n},荣幸之至。{/n}{/n}
この森を抜けたところにある、{/n}エテルナの泉って知ってるか…？{/n},穿过这片森林后、{/n}有个叫艾蒂露娜的泉水{/n}你知道吗…？
えっ…{/n}{/n},呃…{/n}{/n}
オレは旅芸人だった。{/n}そして ある日、親方と共に{/n}エメロード城に招かれた…,我以前是云游艺人。{/n}某一天 和师傅一起{/n}被邀请到艾美诺城…
城の中を 勝手に歩き回ったのは{/n}盗みを働こうとしたんじゃない。{/n}物めずらしかったんだ。,在城里到处乱逛{/n}不是想要偷东西。{/n}只是觉得新奇而已。
だが、城の衛兵は{/n}そうは思わなかった。{/n}オレは 捕まった。,但城里的卫兵{/n}可不这么想。{/n}于是我被抓住了。
オレを救ったのは{/n}エメロード姫だった。{/n},救了我的人{/n}是艾美诺公主。{/n}
オレが 手に取ってしまった{/n}オーブを、オレにくれたものだと{/n}言ってくれたんだ…。,她说我拿在手里的宝珠{/n}本来就是要送给我的{/n}这样帮我开脱了…
エメロード姫は オレの恩人だ。{/n}何としても ザガートの手から{/n}助け出したい！,艾美诺公主是我的恩人。{/n}无论如何都要从扎加特手里{/n}把她救出来！
エテルナの泉にいけば…{/n}「{var0}」の力が{/n}手に入るって話だ。,听说去艾蒂露娜之泉的话…{/n}就能得到「{var0}」的力量。{/n}
…！{/n}{/n},…！{/n}{/n}
だから、オレは その泉に行く！{/n}エメロード姫を救う力が{/n}欲しいんだ！,所以我要去那个泉水！{/n}我想要获得能拯救{/n}艾美诺公主的力量！
…そう…でしたの…。{/n}{/n},…原来{/n}…是这样啊…。{/n}
なーんてな。信じたかい？{/n}{/n},嘛～大概就是这样。{/n}相信了吗？{/n}
！！！,！！！
ひどい…{/n}またウソをついたんですのね！{/n},好过分…{/n}又在说谎对吧！{/n}
そう思うか？{/n}{/n},这么觉得吗？{/n}{/n}
… … …。{/n}{/n},… … …。{/n}{/n}
もうちょっと{/n}素直になった方がいいな、{/n}おまえは。,你还是稍微{/n}坦率点比较好吧。{/n}
その方が かわいいぜ？{/n}{/n},那样会更可爱哦？{/n}{/n}
…やっぱり ボディガードは{/n}もう けっこうです。{/n}ここで おわかれですわ。,…果然还是{/n}不需要保镖了。{/n}就在这里分道扬镳吧。
わたくしたちだけで{/n}出口は探します！{/n},我们自己找出口！{/n}{/n}
やれやれ…クビか。{/n}{/n},哎呀呀…被炒鱿鱼了。{/n}{/n}
{Par}モコナの ひたいの宝石から{/n}光が！{/n},{Par}摩可拿额头的{/n}宝石发光了！{/n}
その光の射すところが出口か{var3}{/n}{/n},光芒指引的方向{/n}就是出口吗{var3}{/n}
{Par}あれが 出口…{/n}急ぎましょう！{/n},{Par}那里就是出口…{/n}快走吧！{/n}
{Par}待て！{/n}不用意に走るな！{/n},{Par}等等！{/n}别冒冒失失跑出去！{/n}
