{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}あ…あれは…？{/n}{/n},{Par}啊…那个是…？{/n}{/n}
{Par}あの…{/n}プレセアさん…ですか？{/n},{Par}那个…{/n}是普蕾西娅小姐吗？{/n}
わたしたち、{/n}クレフから言われて ここに…{/n},我们是受克雷夫所托{/n}才来到这里的…{/n}
{Par}ぷぷー！{/n}{/n},{Par}噗噗！{/n}{/n}
ひゃっ{var4},呀{var4}
{Par}プっ、プレセア…さん…？？{/n}{/n},{Par}噗、普蕾西娅…小姐…？？{/n}{/n}
{Par}きゃあああああ！{/n}{/n},{Par}呀啊啊啊啊！{/n}{/n}
{Par}おーほほほほほ！{/n}ひっかかったわね、{/n}まぬけな ドロボウさんたち！,{Par}哦呵呵呵呵！{/n}上当了呀、{/n}愚蠢的小偷朋友们！
{Par}こんなことも あろうかと{/n}作っておいた{/n}このオリが 役に立ったわ！,{Par}早料到会有这种情况{/n}所以事先准备的{/n}这个牢笼派上用场了呢！
わ、わたしたちは{/n}ドロボウなんかじゃないわよ！{/n},我、我们才不是{/n}什么小偷呢！{/n}
さぁて、{/n}お口が どこまで広がるか{/n}引っぱってやろうかしら！,那么、{/n}就让我来撬开{/n}你们能言善道的小嘴吧！
それとも、三人いっしょに{/n}釜ゆでにしてやろうかしら！{/n},或者把你们三个{/n}一起扔进锅里煮了如何！{/n}
ちょっと！{/n}{/n},等等！{/n}{/n}
ああ！ 久しぶりに{/n}楽しい時間が過ごせそうよ{var2}{/n},啊啊！ 好久没有{/n}享受过这么愉快的时光了{var2}{/n}
ひとの話を聞けというのにー！{/n}{/n},你倒是听人说话啊！{/n}{/n}
{Par}ぷぷー！{/n}{/n},{Par}噗噗！{/n}{/n}
かわいいね。{/n}名前はなんていうの？{/n},好可爱呀。{/n}你叫什么名字？{/n}
困りましたわねー。{/n}{/n},真是伤脑筋呢。{/n}{/n}
でも、勝手に おじゃましたのは{/n}本当ですし、あの方の お怒りを{/n}受けるのは当然でしょうか…,不过擅自闯入确实是{/n}我们的错、会惹那位生气{/n}也是理所当然的…
ちょっと待ってよ。{/n}{/n},稍微等一下啦。{/n}{/n}
ドアが勝手に開いたのよ？{/n}不用心なのは あっちじゃない！{/n}ここが東京だったら…,明明门是自己开的呀？{/n}粗心大意的明明是你啊！{/n}要是在东京的话…
{Par}今、何といったの{var3}{/n}{/n},{Par}你刚才说什么{var3}{/n}{/n}
へ…？{/n}こ、ここが東京だったら…{/n},哎…？{/n}在、在东京的话…{/n}
違う！ その前！{/n}{/n},不对！ 是前面那句！{/n}{/n}
勝手にドアが開いたのよ！{/n}{/n},门是自己开的啦！{/n}{/n}
確かに 無断で入ったのは{/n}悪かったけど、その前に{/n}何度も呼んだんだからね！,虽然擅自进入确实不对、{/n}但在那之前我们{/n}可是叫了好几次门呢！
この家のカギは 導師クレフの{/n}特製…だれもドアを開けることは{/n}できないはずよ。,这栋房子的门锁{/n}是导师克雷夫特制的…{/n}应该没人能打开才对。
もしや、あなたたち…{/n}「{var0}」？{/n},难道说、你们是…{/n}「{var0}」？{/n}
そうだ。{/n}わたしは光。{/n},没错。{/n}我是光。{/n}
海よ。{/n}{/n},我是海。{/n}{/n}
風ですわ。{/n}{/n},我是风。{/n}{/n}
わたしたちは{/n}クレフに言われて{/n}ここまできたんだ。,我们是{/n}受克雷夫所托{/n}才来到这里的。
では、ついに始まるのね…{/n}「伝説の戦い」が…！{/n},那么终于要开始了吗…{/n}「传说中的战斗」…！{/n}
