{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}クレフさん、{/n}だいじょうぶでしょうか…{/n},{Par}克雷夫先生…{/n}不要紧吧…{/n}
だっ、だいじょうぶよ！{/n}さっきの魔法 見たでしょ？{/n},没、没事的！{/n}刚才的魔法看到了吧？{/n}
あんなに強いんだもん、{/n}きっと すぐ{/n}やっつけちゃうわよ。,那么厉害的话{/n}肯定很快就能{/n}把敌人收拾掉的。
…残念だったわね、{/n}あてが はずれて！{/n},…真遗憾呢、{/n}你打错算盘了！{/n}
{Par}氷槍投射！{/n}{/n},{Par}冰枪投射！{/n}{/n}
よ,呜
{Par}何者だ{var3}{/n}{/n},{Par}是什么人{var3}{/n}{/n}
ホーホホホ！{/n}{/n},嚯嚯嚯嚯！{/n}{/n}
初めまして、異世界から来た{/n}マジックナイトの卵さんたち。{/n}わたしは アルシオーネ！,初次见面、来自异世界的{/n}魔法骑士的菜鸟们。{/n}我是阿尔希欧蕾！
どういうことだ！{/n}クレフは{var3}{/n},怎么回事！{/n}克雷夫…{var3}{/n}
やられてしまったんですの？{/n}{/n},被打败了吗？{/n}{/n}
まさか！ あんな{/n}小憎たらしいヤツが、そう簡単に{/n}やられるわけないでしょ！,怎么可能！{/n}那种惹人厌的家伙、{/n}才不会这么轻易就被打败呢！
ホーホホホ！{/n}甘い！ 甘いわ！{/n}ほんとうに 子どもね。,嚯嚯嚯嚯！{/n}天真！太天真了！{/n}还真是小孩子呢。
導師クレフには、{/n}石になっていただきましてよ。{/n},导师克雷夫已经{/n}被变成石头了哦。{/n}
なんだって？{/n}{/n},你说什么？{/n}{/n}
クレフを、石に{var3}{/n}{/n},克雷夫、变成石头{var3}{/n}{/n}
さて…あなたたちも{/n}ザガート様のため、{/n}死んでいただきましょう。,那么…也请你们{/n}为了扎加特大人{/n}乖乖赴死去吧。
さ・よ・な・ら…{/n}伝説のマジックナイト…！{/n},永·别·了…{/n}传说中的魔法骑士…！{/n}
{Par}あら、何のまねかしら、{/n}かわいい お嬢さん？{/n},{Par}哎呀、这是在耍什么把戏、{/n}可爱的小姑娘？{/n}
