{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}だいじょうぶだ。この子は{/n}もうわかってるよ。…悪いのは{/n}おまえたちじゃないってことを…,{Par}没关系的。{/n}这孩子已经明白了。{/n}…做错事的不是你们啊…
この子は 強い子だ。{/n}きっと、またすぐ立ち上がる！{/n}オレが それを見届けてやる。,这孩子很坚强的。{/n}一定很快就能重新站起来！{/n}我会亲眼见证的。
おまえたちには{/n}やることがあるんだろ？{/n},你们还有该做的事吧？{/n}{/n}
…行きな！{/n}オレのようにはなるなよ！{/n},…快走吧！{/n}别变得像我这样啊！{/n}
ありがとう…！{/n}{/n},谢谢你…！{/n}{/n}
前は ひどいこと言って{/n}ごめんなさい。{/n},之前说了过分的话{/n}真是抱歉。{/n}
気にするな。{/n}{/n},别在意。{/n}{/n}
あの…{/n}{/n},那个…{/n}{/n}
行けよ！{/n}ふりむかず！ 前を見て{var4}{/n},快走吧！{/n}别回头！向前看{var4}{/n}
{Par}龍咲 海よ…{/n}{/n},{Par}龙咲海啊…{/n}{/n}
えっ？{/n}{/n},诶？{/n}{/n}
{Par}海ちゃん、あれ！{/n}{/n},{Par}小海、你看！{/n}{/n}
竜が…！{/n}{/n},龙…！{/n}{/n}
{Par}龍咲 海よ…{/n}我は その{var0}たる{/n}資質を認めん。,{Par}龙咲海啊…{/n}汝{var0}之资质{/n}吾已认可。
真に {var0}として{/n}目覚めたとき、再び 我は{/n}そなたの前に 姿を現そう…,当汝以{var0}之姿{/n}真正觉醒之时、{/n}吾将再次现身于汝面前…
