{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}よくやった…三人とも。{/n}{/n},{Par}干得漂亮…三位。{/n}{/n}
クレフ！{/n}元に戻ったのね！{/n},克雷夫！{/n}你恢复原状了呢！{/n}
ああ…ザガートが消滅したので、{/n}石化の魔法の効力が{/n}無くなったのだ…。,啊啊…随着扎加特被消灭、{/n}石化魔法的效力{/n}已经消失了…。
どうしたんですの？ ようやく{/n}エメロード姫が助けられると{/n}いうのに、元気がありませんわ。,怎么了吗？好不容易{/n}能救出艾美诺公主了、{/n}却没什么精神呢。
…そうか？{/n}{/n},…是吗？{/n}{/n}
この先に エメロード姫が{/n}いるんだろう？ 元に戻ったのなら{/n}クレフも いっしょに行こう！,艾美诺公主就在前面吧？{/n}既然都恢复了、{/n}克雷夫也一起去吧！
いや、わたしは…ここで待つ。{/n}おまえたちだけで{/n}行って来てくれ…。,不、我…就在这里等。{/n}你们独自去吧…。{/n}
どうして？{/n}いっしょに エメロード姫を{/n}助けに行きましょうよ！,为什么啊？{/n}请和我们一起去{/n}解救艾美诺公主啊！
おまえたちだけで{/n}行かなければならないのだ。{/n},必须由你们{/n}独自前往才行。{/n}
エメロード姫を 本当に{/n}救えるのは、異世界から来た{/n}{var0}のみ！,真正能拯救艾美诺公主殿下的、{/n}只有从异世界而来的{/n}{var0}的各位！
今は それ以上言えん…！{/n}{/n},现在不便多言…！{/n}{/n}
わかったよ、クレフ…{/n}わたしたちだけで 行くよ。{/n},明白了、克雷夫…{/n}我们会自己去的。{/n}
光…{/n}{/n},光…{/n}{/n}
うん？{/n}{/n},嗯？{/n}{/n}
海…{/n}{/n},海…{/n}{/n}
えっ？{/n}{/n},诶？{/n}{/n}
風…{/n}{/n},风…{/n}{/n}
はい。{/n}{/n},是。{/n}{/n}
エメロード姫を…{/n}くれぐれも{/n}よろしく たのむ…！,艾美诺公主殿下…{/n}务必…{/n}拜托了…！
もちろんだよ！,那当然啦！
