{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}示せ…そなたの力を我に示せ…{/n}{/n},{Par}展现吧…{/n}将汝之力量展现于吾…{/n}
何だ？{/n}{/n},什么声音？{/n}{/n}
下から聞こえる！{/n}{/n},从下方传来的！{/n}{/n}
我をまとうに ふさわしい{/n}心の強さを示せ…！{/n},向吾证明…汝拥有足以{/n}驾驭吾的心灵强度…！{/n}
あの竜が{/n}呼びかけているんでしょうか？{/n},是那条龙{/n}在呼唤我们吗？{/n}
魔神って、竜のことだったのか？{/n}{/n},魔神原来指的是龙吗？{/n}{/n}
{Par}そうだ。{/n}伝説の魔神…その仮の姿だ。{/n},{Par}正是。{/n}传说中的魔神…{/n}但那只是暂时的姿态。
クレフ！{/n}{/n},克雷夫！{/n}{/n}
仮の姿…？{/n}{/n},暂时的姿态…？{/n}{/n}
我が名は セレス…{/n}{var0}を守護し、戦う{/n}伝説の魔神…,吾名为瑟列斯…{/n}守护{var0}并与之{/n}共同战斗的传说魔神…
海…おまえの魔神、セレスだ…。{/n}{/n},海…这是你的魔神、瑟列斯…{/n}{/n}
わたしの…魔神…！{/n}{/n},我的…魔神…！{/n}{/n}
だが、魔神は 発見しても{/n}すぐに動き出すわけではない。{/n},但即使找到了魔神{/n}也不会即刻觉醒。{/n}
おまえたちが{/n}真に{var0}として{/n}成長をとげたとき…,当你们作为{var0}{/n}真正获得成长之时…{/n}
魔神らも 真なる復活を{/n}果たすだろう。{/n},魔神才能实现{/n}真正的复苏{/n}
今は 宝玉に魔神を納め、{/n}その時を待つのだ…！{/n},现在先将魔神收纳进宝玉{/n}静候那个时刻到来吧…！{/n}
でも、魔神を納めるなんて{/n}どうすればいいのよ？{/n},可是、突然说要收纳魔神{/n}这种事该怎么做啦？{/n}
おまえたちが、真に{/n}{var0}にふさわしい者だと{/n}いうことを示せばよい。,只要证明你们是真正配得上{/n}{var0}之名的存在即可{/n}
そんなぁ…！{/n}{/n},怎么能这样…！{/n}{/n}
{Par}ど、どうしたんだ？{/n}{/n},{Par}怎、怎么回事？{/n}{/n}
この部屋、持ち上がってますわ！{/n}{/n},这个房间正在上升啊！{/n}{/n}
{Par}どうやら お姉ちゃんたちを{/n}甘く見すぎていたみたいだね…！{/n},{Par}看来是我太小瞧了{/n}几位大姐姐呢…！{/n}
きみは…だれなんだ{var3}{/n}{/n},你是…什么人{var3}{/n}{/n}
ぼくは アスコットっていうんだ。{/n}お姉ちゃんたちを{/n}殺しにやってきたのさ。,我是阿斯柯特哟。{/n}是为了杀死几位大姐姐{/n}而特意来到这里的呢。
なんだって{var3}{/n}{/n},你说什么{var3}{/n}{/n}
ザガートの手下なの{var3}{/n}{/n},是扎加特的手下吗{var3}{/n}{/n}
もう お姉ちゃんたちに{/n}てかげんはしないからね！{/n},这次可不会再对{/n}大姐姐们手下留情了哦！{/n}
{Par}どうしたの、ジムニー？{/n}{/n},{Par}怎么了、吉姆尼？{/n}{/n}
{Par}ああっ！{/n}{/n},{Par}啊啊！{/n}{/n}
ジムニー！{/n}{/n},吉姆尼！{/n}{/n}
こ、こんな…！{/n}{/n},这、怎么会…！{/n}{/n}
{Par}ジムニー！{/n}{/n},{Par}吉姆尼！{/n}{/n}
ジムニーーーーーーーっ{var4}{/n}{/n},吉姆尼——————{var4}{/n}{/n}
