{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}待っていたぞ。{/n}光、海、風！{/n},{Par}一直在等你们呢。{/n}光、海、风！{/n}
フフ…このような姿になっても、{/n}通信で おまえたちに{/n}助言くらいは してもやれたが…,呵呵…就算变成这副模样、{/n}好歹还能通过通信{/n}给你们提供些建议…
どうやら もう限界のようだ…。{/n}{/n},但看来…似乎到了极限了…。{/n}{/n}
そんな！{/n}何を言うの、クレフ！{/n},怎么会！{/n}说什么丧气话啊、克雷夫！{/n}
急げ！{/n}{/n},快去吧！{/n}{/n}
ザガートも 手ゴマを失い、{/n}あせっているだろう。どんな手を{/n}打ってくるか わからん！,扎加特也痛失得力部下、{/n}想必正焦头烂额呢。{/n}天知道会使出什么手段！
魔神レイアース、セレス、{/n}ウインダムを復活させ、{/n}ザガート城へ 乗り込むのだ！,快去让魔神雷亚斯、瑟列斯、{/n}温达姆复苏、然后{/n}直捣扎加特城！
そうは いかん{var4}{/n}{/n},休想得逞{var4}{/n}{/n}
{Par}イノーバ！,{Par}伊诺巴！
魔神なぞに 足を踏み入れられては{/n}城が けがれるのでな。{/n}…ごえんりょ願おうか？,若是被魔神之流踏入城堡、{/n}可是会玷污这座城的啊。{/n}…能否请你们打道回府呢？
うるさいっ！{/n}おまえだけは…{/n}おまえだけは 許さないぞ！,少啰嗦！{/n}只有你…{/n}只有你绝不可饶恕！
降りてきて 戦えっ！{/n}{/n},给我下来一决胜负！{/n}{/n}
威勢のいいことだ。{/n}では、望み通りにしてやろう…！{/n},口气倒是不小嘛。{/n}那么、就如你所愿…！{/n}
