{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}アベニールを助けてくれたんだ！{/n}ありがとう、お姉ちゃんたち！{/n},{Par}阿贝尼尔被救出来了呐！{/n}谢谢你们、姐姐们！{/n}
アベニールはね…だれにでも{/n}声をかけるけど、ほんとは{/n}アルティナが好きなんだ。,阿贝尼尔啊…{/n}虽然见谁都搭讪来着、{/n}其实是喜欢阿尔缇娜的啦。
え…{/n}{/n},诶…{/n}{/n}
アルティナに{/n}いいとこ見せたいばっかりに{/n}こんなムチャしたんだよ。,就是想给阿尔缇娜{/n}留下一个好印象{/n}才这么乱来的啦。
うるさいっ！ ほっとけ！{/n}{/n},吵死了！不用你管！{/n}{/n}
… … …。{/n}{/n},… … …。{/n}{/n}
アベニール…{/n}ほら、この葉っぱ、{/n}もっていきなさいよ。,阿贝尼尔…{/n}喏、这片叶子、{/n}你拿着吧。
え…？{/n}{/n},诶…？{/n}{/n}
あなたが取ってきたことに{/n}しときなさいって言ってるの。{/n},意思是说、让你{/n}当作自己采到的啦。{/n}
…い、いいのか？{/n}{/n},…这、这样真的好吗？{/n}{/n}
ええ…{/n}いいわよね、光、風？{/n},嗯…{/n}没问题吧、光、风？{/n}
うん！{/n}{/n},嗯嗯！{/n}{/n}
けっこうですわよ。{/n}{/n},我没意见哦。{/n}{/n}
よ、よしっ！{/n}アルティナーっ！{/n},太、太好咧！{/n}阿尔缇娜ー！{/n}
{Par}…やれやれ。{/n}{/n},{Par}…哎呀呀。{/n}{/n}
