{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}さ、ここから 伝説の岬へ！{/n}{/n},{Par}好、从这里前往传说之岬！{/n}{/n}
そこで、あなたたちの{/n}魔神を復活させるのよ{var4}{/n},在那里就能让{/n}你们的魔神复苏了{var4}{/n}
行きなさい！ 光、海、風！{/n}セフィーロの未来は{/n}あなたたちに かかっているの！,出发吧！光、海、风！{/n}锡菲罗的未来{/n}就托付给你们了！
{Par}ありがとう、プレセア！{/n}{/n},{Par}谢谢你、普蕾西娅！{/n}{/n}
今まで 戦ってこれたのも、{/n}プレセアさんの作ってくれた{/n}武器のおかげですわ！,至今能战斗到现在、{/n}都是多亏了普蕾西娅小姐{/n}制作的武器呢！
きっと ザガートから{/n}エメロード姫を{/n}救い出してみせるよ{var4},我们绝对会{/n}从扎加特手中{/n}救出艾美诺公主的{var4}
無事で…帰ってきてね！{/n}{/n},要平安…回来啊！{/n}{/n}
うんっ！{/n}必ず 元気に帰ってくるよ{var4}{/n}本当に ありがとう、プレセア！,嗯！{/n}一定会活蹦乱跳地回来{var4}{/n}真的非常感谢你、普蕾西娅！
行こう！ みんな{var4}{/n}{/n},出发吧！大家{var4}{/n}{/n}
ええっ{var4}{/n}{/n},哎哎{var4}{/n}{/n}
{Par}…３人の{var0}に{/n}エメロード姫の{/n}御加護のあらんことを…！,{Par}…愿三位{var0}{/n}能获得艾美诺公主的{/n}加护…！
