{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}おっ、おぼえていらっしゃい！{/n}{/n},{Par}唔、给我记住了！{/n}{/n}
{Par}すごい！ すごい！{/n}すごいわ、光！{/n},{Par}好厉害！好厉害！{/n}太厉害了、光！{/n}
あれが クレフさんの{/n}おっしゃっていた{/n}「魔法」ですのね。,那就是克雷夫先生{/n}所说的「魔法」对吧。{/n}
魔法…{/n}あれが、わたしの…魔法…！{/n},魔法…{/n}那个、就是{/n}我的…魔法…！
でも…クレフが{/n}石に なっちゃったなんて…{/n},可是…克雷夫{/n}居然变成石头了…{/n}
戻ろう！{/n}クレフのところに！{/n},回去吧！{/n}回克雷夫那里！{/n}
え…でも…{/n}{/n},哎…但是…{/n}{/n}
そのまま 見捨てるなんて{/n}できないよ！{/n},就这样抛弃他{/n}我做不到啊！{/n}
落ちついてください、光さん！{/n}{/n},请冷静点、光小姐！{/n}{/n}
たとえ戻っても、{/n}わたくしたちには 石化の魔法を{/n}とくことは できませんわ。,就算回去、{/n}我们也没办法{/n}解除石化的魔法呀。
それに、クレフさんは{/n}おっしゃっていましたわ…{/n}「セフィーロを救ってくれ」と。,而且、克雷夫先生{/n}不是说过吗…{/n}「请拯救锡菲罗」。
…そうね。{/n}クレフのことを 本当に思うなら、{/n}わたしたちは 先へ行くべきだわ。,…是啊。{/n}如果真心为克雷夫着想、{/n}我们应该继续前进才对。
「この世界を救ってくれ」という{/n}彼の意志をくんで…！{/n},继承他「拯救这个世界」{/n}的意志…！{/n}
そうか…そうだね…。{/n}{/n},这样啊…你说得对…。{/n}{/n}
たしか クレフさんは{/n}「西へ行け」と{/n}おっしゃっていましたわ。,记得克雷夫先生{/n}说过「往西走」对吧。{/n}
西の「沈黙の森」で{/n}プレセアという人に会えって…{/n},在西边的「沉默之森」{/n}去见叫普蕾西娅的人…{/n}
この森が{/n}その沈黙の森なのかしら？{/n},这片森林就是{/n}那个沉默之森吗？{/n}
とにかく、{/n}この先に 行ってみよう！{/n},总之、{/n}先往前面走走吧！{/n}
