{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}昔の人が 空に浮かぶ島に{/n}村を作ったんだ。{/n},{Par}古时候的人们{/n}在浮空岛上建造了村落。{/n}
あまりの景観の美しさに、{/n}「空中庭園」…{/n},人们被这绝美的景致所震撼、{/n}称之为「空中庭园」…{/n}
ここ エアリアの村は{/n}そう呼ばれているよ。{/n},这里的艾瑞亚村{/n}便是如此得名的哦。{/n}
{Par}ここ エアリアの村には{/n}村長さんがいないんだ。{/n}いや、いることはいるんだけどね。,{Par}艾瑞亚村是没有村长的哦。{/n}不、虽然实际是存在的啦。{/n}
どうしても 自分のことを{/n}空中庭園の管理人さんと呼べ、と。{/n},不过无论如何都要我们称呼他为{/n}空中庭园的管理人先生。{/n}
はてさて。{/n}{/n},真是的。{/n}{/n}
{Par}ここ エアリアの村は{/n}空中庭園と呼ばれている。{/n},{Par}这里的艾瑞亚村{/n}被称为空中庭园。{/n}
下の世界との行き来も{/n}また 盛んになるに違いないよ！{/n},和下面世界之间的往来{/n}一定会重新兴盛起来吧！{/n}
{Par}おや？{/n}見なれない人が{/n}最近 多いねぇ。,{Par}哎呀？{/n}最近陌生的面孔{/n}变多了呢。
がっちりした男の人といい、{/n}つりあいの悪いカップルといい…{/n},既有体格健壮的男子、{/n}也有并不般配的情侣…{/n}
{Par}管理人さんの家が{/n}さわがしいようだけど…{/n}何かあったのかねぇ。,{Par}管理人先生的家{/n}似乎很吵闹…{/n}是发生了什么事吗？
{Par}管理人さんの家が{/n}シーンと 水を打ったように{/n}静かだけど…何かあったのかねぇ。,{Par}管理人先生的家{/n}寂静得连滴水声都能听见{/n}是发生了什么事吗？
{Par}精獣の背に乗せてもらうことで、{/n}ここと下の世界を われわれは{/n}行き来していたという。,{Par}据说过去我们搭乘精兽的脊背、{/n}往来于这里与下面的世界。{/n}
…昔の話じゃがの。{/n}{/n},…不过都是陈年往事了。{/n}{/n}
{Par}見なされ、あれに見えるのが{/n}ウワサの 復活した精獣ぞ！{/n},{Par}快看那边、传闻中{/n}复活了的精兽就在那里！{/n}
{Par}精獣は復活したが{/n}精鳥の像は消えた、か…{/n},{Par}虽然精兽复活了{/n}但精鸟雕像却消失了…{/n}
何かと さわがしいのぅ。{/n}{/n},真是多事之秋啊。{/n}{/n}
{Par}あんたたち、{/n}下の人なんだってな！{/n},{Par}你们啊、{/n}是从下面来的人对吧！{/n}
オレたちゃ、もう{/n}生まれてこの方 空中育ち！{/n},我们可是打从出生起{/n}就在空中长大的！{/n}
下の話を聞かせてくれないか？{/n}{/n},能给我们讲讲下面的事吗？{/n}{/n}
{Par}今、このセフィーロに 何か{/n}おこっているってウワサを{/n}ふりまく者がいるんだが…,{Par}最近有人在散布{/n}锡菲罗发生异变的传闻…{/n}
そりゃ本当か？{/n}あんたたち、何か知らないかね？{/n},那是真的吗？{/n}你们知道些什么吗？{/n}
{Par}ああ、もっとイロイロ{/n}知りたいぜーっ！{/n},{Par}啊啊、好想了解更多{/n}更多的事情啊！{/n}
オレは決めた！{/n}旅に出るぞ。{/n}ホントだぞ。,我决定了！{/n}要踏上旅程！{/n}说真的哦。
{Par}ウワサでは、伝説の湖の精獣が{/n}よみがえって、下との行き来が{/n}できるようになったとか！,{Par}传闻说、{/n}传说之湖的精兽复活后、{/n}和下面的往来变得可能了！
さっそく 下から来たらしき{/n}人もいるのよ！{/n}ドキドキするわね！,最近确实有{/n}疑似下面来的人出现呢！{/n}真是令人兴奋啊！
あら、あなたたちもそうなのね。{/n}これは失礼。{/n},哎呀、你们也是下面来的吧？{/n}真是失礼了。{/n}
{Par}もっともっと 下の人が{/n}来てくれないかしら。{/n}いろいろ お話ししたいわ！,{Par}真希望更多下面的人{/n}能来这里啊。{/n}有好多话想聊！
あ、わたしが{/n}下に行けばいいのか…。{/n},啊、或许应该{/n}由我去下面才对…？{/n}
{Par}勇気が出ないわ。{/n}下の世界に行くなんて…。{/n},{Par}提不起勇气呀。{/n}去下面的世界什么的…{/n}
{Par}あの扉のむこう、雲の迷宮の先には{/n}精鳥の像が おわして、{/n}この空中庭園を守っておられる。,{Par}穿过那扇门、云之迷宫的尽头、{/n}供奉着精鸟雕像、{/n}守护着这座空中庭园。
ふだんは この扉には カギが{/n}かけられていて、精鳥の像は{/n}拝むことも かなわないがの。,平时那扇门都上着锁、{/n}连参拜精鸟雕像{/n}都是无法如愿的。
どうしてもというなら、{/n}空中庭園の管理人さんに{/n}たのんでみるのじゃな。,若无论如何都想去、{/n}就拜托空中庭园的{/n}管理人先生吧。
{Par}昔は管理人さんも もっと{/n}おおらかな人での。望めば自由に{/n}精鳥の像まで行けたものじゃよ。,{Par}管理人先生以前也是个豁达的人。{/n}只要提出请求{/n}就能自由地前往精鸟雕像。
やはり人間、年とると{/n}ああなのかのぅ。{/n},果然人上了年纪、{/n}就会变成那样啊。{/n}
{Par}精鳥の像が消え去ったか…。{/n}{/n},{Par}精鸟雕像消失了啊…{/n}{/n}
もしかしたら 精鳥の像も{/n}みんなとの ふれあいを求めて{/n}いずこかに行ったのかもしれんな。,说不定精鸟雕像也{/n}渴望着与大家接触{/n}所以才前往某处了吧。
{Par}空が…ヘンよね？{/n}{/n},{Par}天空…好奇怪呢？{/n}{/n}
そうね…何というか、{/n}空気がよどんでいるというか…{/n},是啊…该怎么说呢、{/n}空气似乎变得浑浊…{/n}
何か よくないことでも{/n}おきるんじゃないかしら？{/n},总觉得会有{/n}不好的事情发生呢？{/n}
{Par}天と地のはざま…{/n}この空中庭園は そこにあるの。{/n},{Par}天地夹缝之间…{/n}这座空中庭园正是位于此处。{/n}
だから わかる…{/n}空の心、地の息吹…{/n},所以我能感知到…{/n}天空的心跳、大地的吐息…{/n}
おかしい…。{/n}今 このセフィーロに{/n}異変がおこっているわ。,不对劲…{/n}此刻的锡菲罗{/n}正在发生异变。
{Par}精鳥の像が なくなってしまった…{/n}でも、これだけでは終わらないわ。{/n}この世界の異変は…,{Par}精鸟雕像消失了…{/n}但事情绝不会就此结束。{/n}这个世界的异变…
まだ、きっと大きな何かが起こる…{/n}そんな気がするの。{/n},必定还会引发更大的动荡…{/n}我有这样的预感。{/n}
{Par}下界のヒトが何の用？{/n}{/n},{Par}下界之人有何贵干？{/n}{/n}
いやん、さわらないでよ。{/n}バッチイわねぇ！{/n},讨厌啦、别碰我。{/n}真是脏死了！{/n}
{Par}…バッチくない？ ホント…？{/n}{/n},{Par}…不脏吗？真的…？{/n}{/n}
…じゃいいけど。{/n}{/n},…那好吧。{/n}{/n}
{Par}ああ、これから どんどん{/n}下の世界の人が ここに{/n}やってきたりするのね。,{Par}啊啊、今后会有更多{/n}下面世界的人{/n}来到这里吧。
バッチくない？ ホント…？{/n}じゃいいけど。{/n},不脏吗？真的…？{/n}那好吧。{/n}
{Par}空飛ぶ魔法を使える者もいれば{/n}空飛ぶ精獣をあやつる者もいる。{/n},{Par}有人使用飞行魔法、{/n}也有人驾驭飞行精兽。{/n}
あんたたちが 下の世界から{/n}来たと言っても、そう{/n}おどろくには あたらないさ。,就算你们说来自下面的世界、{/n}也没什么好大惊小怪的。{/n}
{Par}下の湖の精獣が{/n}復活したというじゃないか！{/n},{Par}听说下面湖泊的精兽复活了！{/n}{/n}
こりゃめでたい。{/n}オレも下の世界に行ってみたいぜ！{/n},真是可喜可贺啊。{/n}我也想去下面的世界看看！{/n}
{Par}オレは 魔法も使えなければ{/n}空飛ぶ精獣をあやつれもしない。{/n},{Par}我既不会魔法{/n}也驾驭不了飞行精兽。{/n}
下の世界に行くのは{/n}夢だったんだよな！{/n},前往下面的世界{/n}曾是我的梦想啊！{/n}
{Par}みんな 何とも思ってないようだが{/n}このオレさまは 何をかくそう{/n}高所恐怖症なんだぁああああ！,{Par}大家好像都不在意、{/n}但本大爷其实{/n}有严重恐高症啊啊啊！
出ていく！{/n}こんなトコ 出ていってやるぅ！{/n},我要离开！{/n}这种地方我待不下去了！{/n}
ああ！{/n}でも、どうやって{/n}出ていけばいいんだぁああああ！,啊啊！{/n}可是要怎么才能{/n}离开这里啊啊啊啊！
{Par}ああ、引っ越したい{/n}引っ越したい！ こんなとこ{/n}恐ろしくて住んでいられないよ！,{Par}啊啊、好想搬家{/n}好想搬家！这种可怕的地方{/n}根本没办法安心居住！
下界から ひとが来てるんだって？{/n}その人、オレを{/n}よそに連れてってくんないかな？,听说有下界的人来了？{/n}那个人能不能{/n}带我去别处啊？
{Par}出て行くぞ。ホントだぞ。{/n}ウソじゃないぞ。{/n},{Par}要离开了。说真的哦。{/n}不是骗人的。{/n}
ザガート？{/n}知らないよ。{/n}興味ないもん。,扎加特？{/n}不知道啦。{/n}没兴趣。
オレが興味あるのは低い土地だ。{/n}{/n},我只对低海拔的土地感兴趣。{/n}{/n}
{Par}あーもう、ウチにいると{/n}息がつまって いけないわ。{/n}少し外で 息抜き息抜き。,{Par}啊——在家里待着{/n}闷得透不过气。{/n}出去透透气吧。
{Par}エメロード姫は このセフィーロの{/n}柱で、毎日 ぼくらの幸せを{/n}祈ってくれているんだって。,{Par}艾美诺公主是锡菲罗的柱、{/n}每天都在为我们祈求幸福。{/n}
じゃ エメロード姫の幸せは{/n}だれが祈ってくれるのかなぁ？{/n},那么艾美诺公主的幸福{/n}又由谁来祈祷呢？{/n}
{Par}見たなー？,{Par}看到了吧？
ここは だれも来ることのない{/n}ボクだけの ひみつ基地！{/n},这里是无人知晓的{/n}只属于我的秘密基地！{/n}
