{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}はーい、お待たせ！{/n}{/n},{Par}好—咧、久等了！{/n}{/n}
これが…！{/n}{/n},这就是…！{/n}{/n}
そう、これが{/n}{var0}の武器…！{/n},没错、这就是{/n}{var0}的武器…！{/n}
あなたたちのために創った、{/n}あなたたちにしか使えない{/n}この世でたった一つの武器よ。,为你们量身打造、{/n}唯有你们才能使用的{/n}世间独一无二的武器哟。
{Par}ありがとう、プレセア。{/n}{/n},{Par}谢谢你、普蕾西娅。{/n}{/n}
すてきな武器を作ってくださって、{/n}本当に ありがとうございます。{/n},能制作出如此美妙的武器、{/n}真的非常感谢您。{/n}
あら、あなたたち、{/n}よく見ると その防具は…？{/n},哎呀、你们的防具{/n}仔细看来似乎…？{/n}
あ、そうよ！ この防具、{/n}エスクードを取ったとき、{/n}突然 形が変わったの！,啊、对啦！这个防具、{/n}拿到艾斯古托的时候{/n}突然就变形了呢！
クレフから{/n}さずけられたのね…{/n},是克雷夫{/n}赐予你们的吧…{/n}
それは「成長する防具」よ。{/n}この エスクードの武器と{/n}いっしょ…。,那是「成长型防具」哟。{/n}要和这些艾斯古托武器{/n}配合使用…
行きなさい、{/n}{var0}たち…！{/n},出发吧、{/n}{var0}们…！{/n}
忘れないで…エスクードの武器を{/n}成長させるのも、それをカギに{/n}魔神をよみがえらせるのも…,别忘了…{/n}无论是让艾斯古托武器成长{/n}还是用它作为钥匙复苏魔神…
すべて あなたたちの{/n}心の成長にかかっている、{/n}ということを…！,这一切都取决于{/n}你们心灵的成长…{/n}这件事…！
心の…成長…！{/n}{/n},心灵的…成长…！{/n}{/n}
まずは、{/n}魔神を探すことかしらね。{/n},首先要做的、{/n}是寻找魔神对吧。{/n}
クレフさんは、{/n}火山、海、空を探せと{/n}おっしゃっていましたわ。,克雷夫先生说过{/n}要我们去火山、海洋和天空{/n}寻找线索呢。
ばくぜんとしてるわねぇ…。{/n}{/n},范围太笼统了吧…。{/n}{/n}
まずは、{/n}北東へ行ってごらんなさい。{/n}いずれ 海が見えてくるはずよ。,不妨先往东北方向走吧。{/n}应该很快就能看到海洋了。{/n}
うん、わかった！{/n}何か 手がかりが{/n}あるかもしれないもんね！,嗯、明白了！{/n}说不定那里{/n}会有什么线索呢！
でも…{/n}{/n},但是…{/n}{/n}
…わたしなら だいじょうぶ。{/n}さ、いくのよ。{/n},…我没事的。{/n}来、出发吧。{/n}
モコナは そのまま{/n}連れていきなさい。きっと{/n}あなたたちを導いてくれるから。,把摩可拿带在身边吧。{/n}它一定会为你们指引方向的。{/n}
必ず 武器を成長させて{/n}戻ってくるのよ。{/n}…待ってるわ。,一定要让武器成长后{/n}回到这里哦。{/n}…我会等着的。
うん！{/n}必ず戻ってくるよ！{/n}ありがとう、プレセア！,嗯！{/n}绝对会回来的！{/n}谢谢你、普蕾西娅！
