{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}カルディナのためなら{/n}えーんやこぉら！{/n},{Par}为了卡尔汀娜的话{/n}嘿～呀嗬！{/n}
{Par}もひとつ おまけに{/n}えーんやこぉら！{/n},{Par}再补上一个{/n}嘿～呀嗬！{/n}
{Par}われらのカルディナのために！{/n}{/n},{Par}为了我们的卡尔汀娜！{/n}{/n}
{Par}うおおおおおん！,{Par}唔呜呜呜呜！
{Par}カルディナのためなら{/n}えーんやこぉら！{/n},{Par}为了卡尔汀娜的话{/n}嘿～呀嗬！{/n}
{Par}もひとつ おまけに{/n}えーんやこぉら！{/n},{Par}再补上一个{/n}嘿～呀嗬！{/n}
{Par}ぽわーん。{/n}{/n},{Par}噗嗡～{/n}{/n}
カルディナちゃーん。{/n}{/n},卡尔汀娜亲～{/n}{/n}
{Par}われらのカルディナのために！{/n}{/n},{Par}为了我们的卡尔汀娜！{/n}{/n}
{Par}… … …。{/n}{/n},{Par}… … …。{/n}{/n}
{Par}こんなところに鏡が…！{/n}{/n},{Par}这种地方居然有镜子…！{/n}{/n}
{Par}こんなところに鏡が…！{/n}{/n},{Par}这种地方居然有镜子…！{/n}{/n}
{Par}こんなところに鏡が…！{/n}{/n},{Par}这种地方居然有镜子…！{/n}{/n}
{Par}クレフの姿は もう見えない…。{/n}{/n},{Par}克雷夫的身影 已经看不见了…。{/n}{/n}
{Par}クレフの姿は もう現れないわ…。{/n}{/n},{Par}克雷夫的身影 不会再出现啦…。{/n}{/n}
{Par}クレフさんは もう お姿を{/n}見せてくださらないようですね…。,{Par}克雷夫先生似乎{/n}已经不会再现身了呢…。
